,Name,Price,Recorded_On,Search_Word,Link
176,Final-Fantasy-Chinese-Subs-PlayStation-4,$119.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Chinese-Subs-PlayStation-4/dp/B01MSSX4V0
177,Final-Fantasy-Ultimania-Archive-1,$27.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Ultimania-Archive-1/dp/1506706444
178,Dissidia-Final-Fantasy-PSP-Japanese-Sony,$54.92,2019-01-29,final fantasy playstation,https://www.amazon.com/Dissidia-Final-Fantasy-PSP-Japanese-Sony/dp/B001GXQQTE
179,FANTASY-ULTIMATE-COLLECTORS-version-PlayStation-4,$380.00,2019-01-29,final fantasy playstation,https://www.amazon.com/FANTASY-ULTIMATE-COLLECTORS-version-PlayStation-4/dp/B01MFG0YNP
180,Final-Fantasy-X-2-Remaster-Japan-4924899011,$31.05,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-X-2-Remaster-Japan-4924899011/dp/B00FPH9M4I
181,Final-Fantasy-Zodiac-PS4-REGION-FREE,$13.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Zodiac-PS4-REGION-FREE/dp/B074CL7N8D
182,Square-Enix-Fantasy-Static-Figure,$49.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Square-Enix-Fantasy-Static-Figure/dp/B01M2VLHY8
183,Fantasy-Sony-Playstation-PS4-Satisfaction-Guarantee,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Sony-Playstation-PS4-Satisfaction-Guarantee/dp/B01N0HJW67
184,FANTASY-Stylish-Design-standard-Playstation-4,$16.99,2019-01-29,final fantasy playstation,https://www.amazon.com/FANTASY-Stylish-Design-standard-Playstation-4/dp/B075C9KF1V
185,Gamers-Digital-Bluetooth-Keyboard-PlayStation,$19.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Gamers-Digital-Bluetooth-Keyboard-PlayStation/dp/B01AGEYZ1O
186,Final-Fantasy-Limited-Playstation-Console-3,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Limited-Playstation-Console-3/dp/B003B011B8
187,Final-Fantasy-International-Bonus-Playstation-2,$105.19,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-International-Bonus-Playstation-2/dp/B00005UOI7
188,Vanknight-Sticker-Playstaion-Controllers-Playstation-4,$12.20,2019-01-29,final fantasy playstation,https://www.amazon.com/Vanknight-Sticker-Playstaion-Controllers-Playstation-4/dp/B01B4KXMUO
189,Final-Fantasy-International-Bonus-Playstation-2,$105.19,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-International-Bonus-Playstation-2/dp/B00005UOI7
190,Vanknight-Sticker-Playstaion-Controllers-Playstation-4,$12.20,2019-01-29,final fantasy playstation,https://www.amazon.com/Vanknight-Sticker-Playstaion-Controllers-Playstation-4/dp/B01B4KXMUO
191,Final-Fantasy-Type-0-Zero-Zeroshiki-Japan,$69.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Type-0-Zero-Zeroshiki-Japan/dp/B005QBKZOO
192,Fantasy-Collection-Anniversary-Package-PlayStation1-PlayStation2,$144.65,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Collection-Anniversary-Package-PlayStation1-PlayStation2/dp/B00005OVXS
193,Final-Fantasy-VII-Children-Subtitled,$3.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-VII-Children-Subtitled/dp/B01NBC2M6A
194,Square-91710-Final-Fantasy-Playstation-3,$32.94,2019-01-29,final fantasy playstation,https://www.amazon.com/Square-91710-Final-Fantasy-Playstation-3/dp/B00Y7R9GD4
