,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,Failed SS,Cards,Hardcover,Audio CD,File Size,Page Numbers Source ISBN,Print Length,Publication Date,Simultaneous Device Usage,Series,Diary,Age Range
73,Do-Scared-Confidence-Resistance-Limitations,$11.39,2019-02-02,eat that frog,https://www.amazon.com/Do-Scared-Confidence-Resistance-Limitations/dp/1542700728,1542700728,978-1542700726,English,183 pages,"CreateSpace Independent Publishing Platform; 1 edition (January 14, 2017)",,,,,,,,,,,,
74,Room-Stickers-Quotes-Pantry-Decal,$23.98,2019-02-02,eat that frog,https://www.amazon.com/Room-Stickers-Quotes-Pantry-Decal/dp/B07HFNCGC8,,,,,,True,,,,,,,,,,,
75,That-Frog-SmarterComics-Brian-Tracy-ebook,$6.99,2019-02-02,eat that frog,https://www.amazon.com/That-Frog-SmarterComics-Brian-Tracy-ebook/dp/B005LY2OZY,,,,,,True,,,,,,,,,,,
76,Platform-Terrarium-Tortoises-Decoration-Salamanders,$10.99,2019-02-02,eat that frog,https://www.amazon.com/Platform-Terrarium-Tortoises-Decoration-Salamanders/dp/B07KZMZBTH,,,,,,True,,,,,,,,,,,
77,Safari-Ltd-Life-Cycle-Frog,$9.99,2019-02-02,eat that frog,https://www.amazon.com/Safari-Ltd-Life-Cycle-Frog/dp/B009435MXO,,,,,,True,,,,,,,,,,,
78,Natures-Dawning-AUTHENTIC-Multi-Purpose-18cmx20cm,$7.47,2019-02-02,eat that frog,https://www.amazon.com/Natures-Dawning-AUTHENTIC-Multi-Purpose-18cmx20cm/dp/B01I2BSGHM,,,,,,True,,,,,,,,,,,
79,Second-Journal-Most-Powerful-Planet,$26.99,2019-02-02,eat that frog,https://www.amazon.com/Second-Journal-Most-Powerful-Planet/dp/168261722X,,,,,,True,,,,,,,,,,,
80,Pondemonium,$1.99,2019-02-02,eat that frog,https://www.amazon.com/Pondemonium/dp/B077GM957P,,,,,,True,,,,,,,,,,,
81,Ways-Money-World-Penguin-Specials-ebook,$0.00,2019-02-02,eat that frog,https://www.amazon.com/Ways-Money-World-Penguin-Specials-ebook/dp/B00FGUM8EU,,,,,,True,,,,,,,,,,,
82,Get-Smart-Successful-Highest-Paid-People-ebook,$11.99,2019-02-02,eat that frog,https://www.amazon.com/Get-Smart-Successful-Highest-Paid-People-ebook/dp/B00YBA7OKY,,,,,"TarcherPerigee (March 15, 2016)",,,,,586 KB,0399183795,215 pages,"March 15, 2016",,,,
83,Get-Smart-Successful-Highest-Paid-People,$10.20,2019-02-02,eat that frog,https://www.amazon.com/Get-Smart-Successful-Highest-Paid-People/dp/0399183795,0399183795,978-0399183799,English,224 pages,"TarcherPerigee; Reprint edition (March 14, 2017)",,,,,,,,,,,,
84,Sabse-Mushkil-Kaam-Pehle-Hindi-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Sabse-Mushkil-Kaam-Pehle-Hindi-ebook/dp/B01N3U919A,,,,,,True,,,,,,,,,,,
85,SABSE-MUSHKIL-KAAM-PEHLE-Hindi,$5.00,2019-02-02,eat that frog,https://www.amazon.com/SABSE-MUSHKIL-KAAM-PEHLE-Hindi/dp/8183221807,8183221807,978-8183221801,Hindi,169 pages,"Manjul Publishing House Pvt. Ltd. (January 1, 2013)",,,,,,,,,,,,
86,Evernote-Mastery-Eye-Opening-Techniques-Essentials-ebook,$3.99,2019-02-02,eat that frog,https://www.amazon.com/Evernote-Mastery-Eye-Opening-Techniques-Essentials-ebook/dp/B00URRJNXQ,,,,,,True,,,,,,,,,,,
87,Evernote-Mastery-Eye-Opening-Techniques-Experts,$10.99,2019-02-02,eat that frog,https://www.amazon.com/Evernote-Mastery-Eye-Opening-Techniques-Experts/dp/154529173X,154529173X,978-1545291733,English,170 pages,"CreateSpace Independent Publishing Platform (April 10, 2017)",,,,,,,,,,,,
88,Eat-Clean-Diet-Cookbook-Great-Tasting-Cookbooks,$11.12,2019-02-02,eat that frog,https://www.amazon.com/Eat-Clean-Diet-Cookbook-Great-Tasting-Cookbooks/dp/1552100448,1552100448,,English,358 pages,"Ballantine Books; 4th Printing edition (September 9, 2007)",,,,,,,,,,Eat Clean Diet Cookbooks (Book 1)<br/>,,
89,Eat-Clean-Diet-Cookbook-Great-Tasting-Cookbooks-ebook,$5.99,2019-02-02,eat that frog,https://www.amazon.com/Eat-Clean-Diet-Cookbook-Great-Tasting-Cookbooks-ebook/dp/B00B3M3ASI,,,,,,True,,,,,,,,,,,
90,Live-Assassin-Snails-Clea-helena,$7.95,2019-02-02,eat that frog,https://www.amazon.com/Live-Assassin-Snails-Clea-helena/dp/B0049RK7QW,,,,,,True,,,,,,,,,,,
91,Believe-Achieve-Overcome-Doubts-Potential-ebook,$11.99,2019-02-02,eat that frog,https://www.amazon.com/Believe-Achieve-Overcome-Doubts-Potential-ebook/dp/B0719GHS7N,,,,,,True,,,,,,,,,,,
92,Believe-Achieve-Overcome-Doubts-Potential,$14.86,2019-02-02,eat that frog,https://www.amazon.com/Believe-Achieve-Overcome-Doubts-Potential/dp/0143131087,,,,,,True,,,,,,,,,,,
93,Zoo-Med-Gourmet-Reptisticks-Aquatic,$12.03,2019-02-02,eat that frog,https://www.amazon.com/Zoo-Med-Gourmet-Reptisticks-Aquatic/dp/B00VBPIWSA,,,,,,True,,,,,,,,,,,
94,Enlightened-time-management-Danniel-Roberts-ebook,$5.49,2019-02-02,eat that frog,https://www.amazon.com/Enlightened-time-management-Danniel-Roberts-ebook/dp/B07D1SBKSL,,,,,,True,,,,,,,,,,,
95,Silicone-Placemat-Children-Highchair-Salbree,$9.90,2019-02-02,eat that frog,https://www.amazon.com/Silicone-Placemat-Children-Highchair-Salbree/dp/B01MEC42C1,,,,,,True,,,,,,,,,,,
96,Secret-Path-Meditation-Teachings-Spiritual-ebook,$9.99,2019-02-02,eat that frog,https://www.amazon.com/Secret-Path-Meditation-Teachings-Spiritual-ebook/dp/B0056GJHG6,,,,,,True,,,,,,,,,,,
97,Secret-Path-Technique-Spiritual-Self-discovery,$13.95,2019-02-02,eat that frog,https://www.amazon.com/Secret-Path-Technique-Spiritual-Self-discovery/dp/8173031924,8173031924,978-8173031922,English,295 pages,"Pilgrims Publishing,India (June 1, 2002)",,,,,,,,,,,,
98,Toad-Road-Cautionary-Stephen-Shaskan,$9.98,2019-02-02,eat that frog,https://www.amazon.com/Toad-Road-Cautionary-Stephen-Shaskan/dp/0062393472,,,,,,True,,,,,,,,,,,
99,Toad-Road-Cautionary-Stephen-Shaskan,$8.95,2019-02-02,eat that frog,https://www.amazon.com/Toad-Road-Cautionary-Stephen-Shaskan/dp/1338290509,,,,,,True,,,,,,,,,,,
100,Emotional-Intelligence-Effective-Awareness-Controlling,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling/dp/1977792421,1977792421,,English,118 pages,"CreateSpace Independent Publishing Platform (September 30, 2017)",,,,,,,,,,Emotional Intelligence Series (Book 5)<br/>,,
101,Emotional-Intelligence-Effective-Awareness-Controlling-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling-ebook/dp/B0769DGN1N,,,,,,True,,,,,,,,,,,
102,Gymtastic-Professional-Air-Track-20ft,$149.00,2019-02-02,eat that frog,https://www.amazon.com/Gymtastic-Professional-Air-Track-20ft/dp/B07J2YDGP3,,,,,,True,,,,,,,,,,,
103,Practical-Thinking-Four-Right-Wrong,$14.79,2019-02-02,eat that frog,https://www.amazon.com/Practical-Thinking-Four-Right-Wrong/dp/1785041118,,,,,,True,,,,,,,,,,,
104,Cognitive-Behavioral-Therapy-Retraining-Overcoming,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming/dp/1978385528,1978385528,,English,86 pages,"CreateSpace Independent Publishing Platform (October 19, 2017)",,,,,,,,,,Cognitive Behavioral Therapy Series (Book 5)<br/>,,
105,Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook/dp/B077RF8KL6,,,,,,True,,,,,,,,,,,
106,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction,$19.95,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction/dp/1731466366,1731466366,978-1731466365,English,148 pages,"Independently published (November 17, 2018)",,,,,,,,,,,,
107,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook/dp/B07KMVZ539,,,,,,True,,,,,,,,,,,
108,Cognitive-Behavioral-Therapy-Manuscripts-Definitive,$25.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Manuscripts-Definitive/dp/1974515214,1974515214,,English,232 pages,"CreateSpace Independent Publishing Platform (August 13, 2017)",,,,,,,,,,Cognitive Behavioral Therapy Series (Book 4)<br/>,,
