,Name,Price,Recorded_On,Search_Word,Link
61,Longruner-Capacitive-Display-800x480-Raspberry,$53.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Longruner-Capacitive-Display-800x480-Raspberry/dp/B071X8H5FB
62,Arducam-Noir-Camera-Raspberry-Illuminator,$27.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Arducam-Noir-Camera-Raspberry-Illuminator/dp/B07D8S6JRH
63,Vilros-Raspberry-Model-Supply-Latest,$48.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Model-Supply-Latest/dp/B07BQFX4SB
64,SunFounder-Raspberry-Programming-Ultrasonic-Following,$119.00,2019-01-29,Raspberry Pi,https://www.amazon.com/SunFounder-Raspberry-Programming-Ultrasonic-Following/dp/B06XYZRBNJ
65,Raspberry-Plus-Ultimate-Kit-Motherboard,$139.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Plus-Ultimate-Kit-Motherboard/dp/B07BGD7P4K
66,ReSpeaker-microphone-expansion-raspberry-service,$14.90,2019-01-29,Raspberry Pi,https://www.amazon.com/ReSpeaker-microphone-expansion-raspberry-service/dp/B075MBBMQ4
67,Raspberry-Pi-Desktop-Starter-White,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Desktop-Starter-White/dp/B01CI58722
68,Gowoops-Temperature-Humidity-Measurement-Raspberry,$9.90,2019-01-29,Raspberry Pi,https://www.amazon.com/Gowoops-Temperature-Humidity-Measurement-Raspberry/dp/B073F472JL
69,Raspberry-Battery-Charging-Protection-Output,$12.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Battery-Charging-Protection-Output/dp/B07JP66RT9
70,HSU-Development-Electronic-Components-Accessories,$69.99,2019-01-29,Raspberry Pi,https://www.amazon.com/HSU-Development-Electronic-Components-Accessories/dp/B073WVFGMK
71,Raspberry-Pi-Makers-inventors-Developers,$19.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Makers-inventors-Developers/dp/B07J4V6Q6Z
72,Adeept-Ultimate-Starter-Learning-Raspberry,$53.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Adeept-Ultimate-Starter-Learning-Raspberry/dp/B01FLSF4PQ
73,WeatherRack-Anemometer-SwitchDoc-WeatherPiArduino-Raspberry,$82.95,2019-01-29,Raspberry Pi,https://www.amazon.com/WeatherRack-Anemometer-SwitchDoc-WeatherPiArduino-Raspberry/dp/B00QURVHN6
74,Raspberry-Display-Touchscreen-Supply-Official,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Display-Touchscreen-Supply-Official/dp/B06XRM4MCW
75,Raspberry-Pi-Cookbook-Software-Solutions,$33.84,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Cookbook-Software-Solutions/dp/1491939109
76,Raspberry-Pi-Cookbook-Software-Solutions-ebook,$18.35,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Cookbook-Software-Solutions-ebook/dp/B01FV5OTRI
77,CanaKit-Raspberry-Supply-Adapter-Listed,$9.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Supply-Adapter-Listed/dp/B00MARDJZ4
78,ThyWay-Touch-Screen-Protective-Raspberry,$25.99,2019-01-29,Raspberry Pi,https://www.amazon.com/ThyWay-Touch-Screen-Protective-Raspberry/dp/B07L4PKDK3
79,Freenove-Raspberry-Processing-Tutorials-Components,$39.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Freenove-Raspberry-Processing-Tutorials-Components/dp/B06VTH7L28
80,2-4GHz-Wireless-Keyboard-Mouse-Pad-Great-Raspberry,$19.99,2019-01-29,Raspberry Pi,https://www.amazon.com/2-4GHz-Wireless-Keyboard-Mouse-Pad-Great-Raspberry/dp/B07LH6TZSZ
81,lecimo-Compatible-Transparent-Acrylic-Raspberry,$5.89,2019-01-29,Raspberry Pi,https://www.amazon.com/lecimo-Compatible-Transparent-Acrylic-Raspberry/dp/B07JFST2M4
82,daffodilblob-Camera-Module-Webcam-Raspberry,$5.88,2019-01-29,Raspberry Pi,https://www.amazon.com/daffodilblob-Camera-Module-Webcam-Raspberry/dp/B07J3B6TNS
83,EleDuino-Raspberry-Aluminum-Enclosure-Cooling,$24.90,2019-01-29,Raspberry Pi,https://www.amazon.com/EleDuino-Raspberry-Aluminum-Enclosure-Cooling/dp/B07M68SM5Z
84,Raspberry-Pi-Cookbook-Software-Solutions-ebook,$18.35,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Cookbook-Software-Solutions-ebook/dp/B01FV5OTRI
85,Raspberry-Pi-Cookbook-Software-Solutions,$33.84,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Cookbook-Software-Solutions/dp/1491939109
86,CY-Case-Raspberry-Pi-WhiteBerry,$15.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CY-Case-Raspberry-Pi-WhiteBerry/dp/B00R51J4X6
87,RASPBERRY-PI-RASPBERRYPI-SENSEHAT-Raspberry-Orientation-Temperature,$37.81,2019-01-29,Raspberry Pi,https://www.amazon.com/RASPBERRY-PI-RASPBERRYPI-SENSEHAT-Raspberry-Orientation-Temperature/dp/B014HDG74S
88,Tempus%C2%AE-Raspberry-Backlit-Integrated-Keyboard,$89.97,2019-01-29,Raspberry Pi,https://www.amazon.com/Tempus%C2%AE-Raspberry-Backlit-Integrated-Keyboard/dp/B00Q7BA6E6
89,CanaKit-Raspberry-Wireless-Official-Supply,$24.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Wireless-Official-Supply/dp/B071L2ZQZX
90,Earth-Luxe-Handmade-Bath-Soap,$10.00,2019-01-29,Raspberry Pi,https://www.amazon.com/Earth-Luxe-Handmade-Bath-Soap/dp/B06WVN5BJC
91,Raspberry-Screen-10-1-IPS-SunFounder,$110.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Screen-10-1-IPS-SunFounder/dp/B07FZZ95WN
92,Raspberry-Pi-Model-A-256MB,$29.49,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Model-A-256MB/dp/B00PEX05TO
93,Learning-Network-Penetration-Testing-Linux,$1.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Learning-Network-Penetration-Testing-Linux/dp/B07DWFD7BS
94,MakerFocus-Raspberry-Protective-Heatsink-Compatible,$10.98,2019-01-29,Raspberry Pi,https://www.amazon.com/MakerFocus-Raspberry-Protective-Heatsink-Compatible/dp/B07GPCJGJS
95,Kuman-Capacitive-Display-Raspberry-SC7B,$53.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Kuman-Capacitive-Display-Raspberry-SC7B/dp/B01F3801A2
96,Hacking-Electronics-Learning-Arduino-Raspberry,$19.36,2019-01-29,Raspberry Pi,https://www.amazon.com/Hacking-Electronics-Learning-Arduino-Raspberry/dp/1260012204
97,Hacking-Electronics-Learning-Arduino-Raspberry-ebook,$17.49,2019-01-29,Raspberry Pi,https://www.amazon.com/Hacking-Electronics-Learning-Arduino-Raspberry-ebook/dp/B074HVSBTL
98,Raspberry-Aluminum-Dissipation-Enclosure-Heatsink,$23.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Aluminum-Dissipation-Enclosure-Heatsink/dp/B07M8SH8TM
99,Geekworm-Raspberry-Storage-Matching-Enclosure,$28.39,2019-01-29,Raspberry Pi,https://www.amazon.com/Geekworm-Raspberry-Storage-Matching-Enclosure/dp/B07GRZRW7J
100,Waveshare-Raspberry-Pi-HAT-PoE,$34.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Waveshare-Raspberry-Pi-HAT-PoE/dp/B07H95Z21P
101,CanaKit-Raspberry-Wireless-Complete-Starter,$34.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Wireless-Complete-Starter/dp/B07CMVDHWB
102,SunFounder-Raspberry-Project-Including-Breadboard,$35.99,2019-01-29,Raspberry Pi,https://www.amazon.com/SunFounder-Raspberry-Project-Including-Breadboard/dp/B00P2E9W30
103,iUniker-Raspberry-Aluminium-Heatsink-Compatible,$25.99,2019-01-29,Raspberry Pi,https://www.amazon.com/iUniker-Raspberry-Aluminium-Heatsink-Compatible/dp/B07D3S4KBK
104,Kintaro-Super-Kuma-9000-Functional,$21.91,2019-01-29,Raspberry Pi,https://www.amazon.com/Kintaro-Super-Kuma-9000-Functional/dp/B07CTSPTQ8
105,V-Kits-Raspberry-Arcade-Gaming-Controller,$109.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Arcade-Gaming-Controller/dp/B07KPN2QCW
106,Raspberry-Complete-Starter-Cooling-Heavy-Aluminum,$76.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Complete-Starter-Cooling-Heavy-Aluminum/dp/B07BDQZ2TB
107,Kodi-Edition-Raspberry-Pi-Case,$19.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Kodi-Edition-Raspberry-Pi-Case/dp/B07KTCC9JT
108,iUniker-Raspberry-Cooling-Heatsink-Removable,$10.99,2019-01-29,Raspberry Pi,https://www.amazon.com/iUniker-Raspberry-Cooling-Heatsink-Removable/dp/B079M96KWZ
109,CanaKit-Raspberry-Power-Supply-PiSwitch,$11.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Power-Supply-PiSwitch/dp/B07GZZT7DN
110,UCTRONICS-Display-Touch-Screen-Raspberry,$25.99,2019-01-29,Raspberry Pi,https://www.amazon.com/UCTRONICS-Display-Touch-Screen-Raspberry/dp/B076M399XX
111,V-Kits-Raspberry-Model-Ultimate-Latest,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Model-Ultimate-Latest/dp/B07BGFD8H3
112,Raspberry-Kids-Dummies-Richard-Wentk,$16.98,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Kids-Dummies-Richard-Wentk/dp/1119049512
113,Raspberry-Kids-Dummies-Richard-Wentk-ebook,$15.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Kids-Dummies-Richard-Wentk-ebook/dp/B00SZ6389G
114,Raspberry-Pi-3-Computer-Board,$36.25,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-3-Computer-Board/dp/B07KKBCXLY
115,Vilros-Raspberry-Complete-Starter-Gaming,$69.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Complete-Starter-Gaming/dp/B075ZZ1VLZ
116,Raspberry-Pi-16GB-Preloaded-Noobs,$14.45,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-16GB-Preloaded-Noobs/dp/B01H5ZNOYG
117,LAFVIN-Raspberry-Heatsinks-Supply-Compatible,$11.99,2019-01-29,Raspberry Pi,https://www.amazon.com/LAFVIN-Raspberry-Heatsinks-Supply-Compatible/dp/B07KRNK5J2
118,ALITOVE-Addressable-Programmable-Compatible-Raspberry,$35.99,2019-01-29,Raspberry Pi,https://www.amazon.com/ALITOVE-Addressable-Programmable-Compatible-Raspberry/dp/B01HGJRC4Y
119,Elecrow-Capacitive-interface-Supports-Raspberry,$49.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Elecrow-Capacitive-interface-Supports-Raspberry/dp/B07FDYXPT7
120,Adafruit-Composite-Video-Raspberry-ADA2881,$7.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Adafruit-Composite-Video-Raspberry-ADA2881/dp/B06W2JXLSK
121,Retroflag-Controllers-Heatsinks-RetroPie-Raspberry,$37.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Retroflag-Controllers-Heatsinks-RetroPie-Raspberry/dp/B0787348WK
122,Raspberry-Robot-Kit-Pismart-Box,$99.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Robot-Kit-Pismart-Box/dp/B0721MNPBM
123,CanaKit-Raspberry-Kit-Dummies-Included,$109.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Kit-Dummies-Included/dp/B01K67UE84
124,Raspberry-Pi-Solar-Panel-Module,$89.00,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Solar-Panel-Module/dp/B01N8OC1IW
125,NavoLabs-Raspberry-Pi-POE-Hat,$37.50,2019-01-29,Raspberry Pi,https://www.amazon.com/NavoLabs-Raspberry-Pi-POE-Hat/dp/B07CLCFLH8
126,Raspberry-Pi-Xtreme-Retropie-Supreme,$28.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Xtreme-Retropie-Supreme/dp/B07GSLWF5F
127,Waveshare-4inch-HDMI-LCD-Resolution,$42.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Waveshare-4inch-HDMI-LCD-Resolution/dp/B01M07K5QQ
128,Freenove-Three-Wheeled-Raspberry-Detailed-Ultrasonic,$69.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Freenove-Three-Wheeled-Raspberry-Detailed-Ultrasonic/dp/B06W54XC9V
129,Battery-Raspberry-Android-2400mAh-Suction,$19.92,2019-01-29,Raspberry Pi,https://www.amazon.com/Battery-Raspberry-Android-2400mAh-Suction/dp/B01M8F8Q5J
130,Raspberry-Pi-7-Touchscreen-Display,$73.92,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-7-Touchscreen-Display/dp/B014WKCFR4
131,Accuracy-Temperature-Humidity-Raspberry-Platforms,$19.88,2019-01-29,Raspberry Pi,https://www.amazon.com/Accuracy-Temperature-Humidity-Raspberry-Platforms/dp/B01NAMGNSS
132,KOOKYE-Modules-Arduino-Raspberry-Professional,$21.99,2019-01-29,Raspberry Pi,https://www.amazon.com/KOOKYE-Modules-Arduino-Raspberry-Professional/dp/B01J9GD3DG
133,Vilros-Raspberry-Starter-Power-Premium,$26.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Starter-Power-Premium/dp/B0748MBFTS
134,Learn-Robotics-Raspberry-Pi-Thinking,$16.34,2019-01-29,Raspberry Pi,https://www.amazon.com/Learn-Robotics-Raspberry-Pi-Thinking/dp/1593279205
135,Learn-Robotics-Raspberry-Pi-Thinking-ebook,$14.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Learn-Robotics-Raspberry-Pi-Thinking-ebook/dp/B07BPNZ77W
136,Arducam-Megapixels-Sensor-OV5647-Raspberry,$13.49,2019-01-29,Raspberry Pi,https://www.amazon.com/Arducam-Megapixels-Sensor-OV5647-Raspberry/dp/B012V1HEP4
137,Kuman-Moisture-Compatible-Raspberry-Automatic,$8.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Kuman-Moisture-Compatible-Raspberry-Automatic/dp/B071F4RDHY
138,Rebeccas-Graphic-Tees-Raspberry-T-Shirt,$16.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Rebeccas-Graphic-Tees-Raspberry-T-Shirt/dp/B07JBNBX4X
139,UNIROI-Monitor-Raspberry-Screen-Ultra-Slim,$55.99,2019-01-29,Raspberry Pi,https://www.amazon.com/UNIROI-Monitor-Raspberry-Screen-Ultra-Slim/dp/B07D71DVS9
140,WeatherPiArdinuo-Grove-Weather-Board-connectors,$24.99,2019-01-29,Raspberry Pi,https://www.amazon.com/WeatherPiArdinuo-Grove-Weather-Board-connectors/dp/B00QVN51AE
141,Raspberry-Pi-Model-512MB-Computer,$32.91,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Model-512MB-Computer/dp/B00LPESRUK
142,Flirc-Raspberry-Case-Gen2-Model,$15.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Flirc-Raspberry-Case-Gen2-Model/dp/B07349HT26
143,Raspberry-Pi-Model-Desktop-Linux,$42.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Model-Desktop-Linux/dp/B00T2U7R7I
