,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
35,Storytelling-Data-Visualization-Business-Professionals-ebook,$19.11,2019-02-02,Data Science,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals-ebook/dp/B016DHQSM2,,,,,,,,,,True,,,
36,Data-Science-Warehousing-Visualization-Regression-ebook,$4.99,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Warehousing-Visualization-Regression-ebook/dp/B07K5YB7RF,,,,,,,,,,True,,,
37,Malware-Data-Science-Detection-Attribution,$27.70,2019-02-02,Data Science,https://www.amazon.com/Malware-Data-Science-Detection-Attribution/dp/1593278594,9781593278595,978-1593278595,English,272 pages,"No Starch Press (September 25, 2018)",,,,,,,,
38,Malware-Data-Science-Detection-Attribution-ebook,$29.99,2019-02-02,Data Science,https://www.amazon.com/Malware-Data-Science-Detection-Attribution-ebook/dp/B077X1V9SY,,,,,,,,,,True,,,
39,Data-Science-Handbook-Field-Cady,$56.89,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Handbook-Field-Cady/dp/1119092949,1119092949,978-1119092940,English,,"Wiley; 1 edition (February 28, 2017)",,,,,,,416 pages,
40,Data-Science-Handbook-Field-Cady-ebook,$35.78,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Handbook-Field-Cady-ebook/dp/B01N9ZUWWS,,,,,,,,,,True,,,
41,Think-Like-Scientist-step-step,$35.09,2019-02-02,Data Science,https://www.amazon.com/Think-Like-Scientist-step-step/dp/1633430278,9781633430273,978-1633430273,English,328 pages,"Manning Publications; 1 edition (April 2, 2017)",,,,,,,,
42,Data-Analysis-Scratch-Python-Visualization-ebook,$5.99,2019-02-02,Data Science,https://www.amazon.com/Data-Analysis-Scratch-Python-Visualization-ebook/dp/B07GFQCKNR,,,,,"AI Sciences LLC; 2 edition (August 13, 2018)",4439 KB,153 pages,"August 13, 2018",Unlimited,,,,
43,Analysis-Scratch-Python-Step-Step,$15.95,2019-02-02,Data Science,https://www.amazon.com/Analysis-Scratch-Python-Step-Step/dp/1725678098,1725678098,978-1725678095,English,151 pages,"CreateSpace Independent Publishing Platform; 2 edition (August 14, 2018)",,,,,,,,
44,Python-Data-Analysis-Wrangling-IPython,$44.42,2019-02-02,Data Science,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662,1491957662,978-1491957660,English,550 pages,"O'Reilly Media; 2 edition (October 20, 2017)",,,,,,,,
45,Python-Data-Analysis-Wrangling-IPython-ebook,$29.99,2019-02-02,Data Science,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython-ebook/dp/B075X4LT6K,,,,,"O'Reilly Media; 2 edition (September 25, 2017)",11202 KB,550 pages,"September 25, 2017",Unlimited,,,,
46,Data-Center-True-Cost-Internet,$1.99,2019-02-02,Data Science,https://www.amazon.com/Data-Center-True-Cost-Internet/dp/B074PG4LZH,,,,,,,,,,True,,,
47,Value-Your-Personal-Data,$2.99,2019-02-02,Data Science,https://www.amazon.com/Value-Your-Personal-Data/dp/B01MT68IKS,,,,,,,,,,True,,,
48,Statistics-Art-Science-Learning-Data,$25.49,2019-02-02,Data Science,https://www.amazon.com/Statistics-Art-Science-Learning-Data/dp/0321997832&selectObb=rent,,,,,,,,,,True,,,
49,Statistics-Art-Science-Learning-Data,$194.48,2019-02-02,Data Science,https://www.amazon.com/Statistics-Art-Science-Learning-Data/dp/0321997832&selectObb=rent,,,,,,,,,,True,,,
50,Statistics-Science-Learning-Data-Global,$59.45,2019-02-02,Data Science,https://www.amazon.com/Statistics-Science-Learning-Data-Global/dp/1292164778,,,,,,,,,,True,,,
51,Practical-Statistics-Data-Scientists-Essential-ebook,$24.99,2019-02-02,Data Science,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential-ebook/dp/B071NVDFD6,,,,,"O'Reilly Media; 1 edition (May 10, 2017)",21119 KB,318 pages,"May 10, 2017",Unlimited,,,,
52,Practical-Statistics-Data-Scientists-Essential,$43.98,2019-02-02,Data Science,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/1491952962,1491952962,978-1491952962,English,318 pages,"O'Reilly Media; 1 edition (May 28, 2017)",,,,,,,,
53,Practical-Data-Science-Nina-Zumel,$39.38,2019-02-02,Data Science,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617291560,1617291560,978-1617291562,English,389 pages,"Manning; 1st edition (April 13, 2014)",,,,,,,,
54,Ethics-Data-Science-Mike-Loukides-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Ethics-Data-Science-Mike-Loukides-ebook/dp/B07GTC8ZN7,,,,,"O'Reilly Media; 1 edition (July 25, 2018)",3386 KB,41 pages,"August 21, 2018",Unlimited,,,,
55,Practical-Data-Science-Nina-Zumel,$39.38,2019-02-02,Data Science,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617291560,1617291560,978-1617291562,English,389 pages,"Manning; 1st edition (April 13, 2014)",,,,,,,,
